Site Id,Name,Met_Office_Id,Latitude,Longitude,Elevation
a4e98d97-701d-e811-a6d2-9cb6d0e28a40,TABARKA,60710,36.95,8.75,21
a7e98d97-701d-e811-a6d2-9cb6d0e28a40,BIZERTE,60714,37.25,9.8,3
a21b3e9e-701d-e811-a6d2-9cb6d0e28a40,TUNIS-CARTHAGE,60715,36.833333,10.233333,4
a51b3e9e-701d-e811-a6d2-9cb6d0e28a40,KELIBIA,60720,36.85,11.083333,30
a81b3e9e-701d-e811-a6d2-9cb6d0e28a40,BEJA B209,60723,36.733333,9.183333,159
ab1b3e9e-701d-e811-a6d2-9cb6d0e28a40,JENDOUBA,60725,36.483333,8.8,144
ae1b3e9e-701d-e811-a6d2-9cb6d0e28a40,NABEUL,60728,36.466667,10.7,78
b11b3e9e-701d-e811-a6d2-9cb6d0e28a40,ZAGHOUAN,60729,36.433333,10.083333,156
b41b3e9e-701d-e811-a6d2-9cb6d0e28a40,ENFIDHA,60731,36.066667,10.45,0
b71b3e9e-701d-e811-a6d2-9cb6d0e28a40,LE KEF,60732,36.133333,8.7,518
ba1b3e9e-701d-e811-a6d2-9cb6d0e28a40,SILIANA,60734,36.066667,9.366667,445
bd1b3e9e-701d-e811-a6d2-9cb6d0e28a40,KAIROUAN,60735,35.666667,10.1,68
a7329ea4-701d-e811-a6d2-9cb6d0e28a40,THALA,60738,35.55,8.683333,1092
aa329ea4-701d-e811-a6d2-9cb6d0e28a40,KASSERINE,60739,35.166667,8.833333,707
ad329ea4-701d-e811-a6d2-9cb6d0e28a40,MONASTIR-SKANES,60740,35.666667,10.75,3
b0329ea4-701d-e811-a6d2-9cb6d0e28a40,MAHDIA,60742,35.5,11.066667,12
b3329ea4-701d-e811-a6d2-9cb6d0e28a40,GAFSA,60745,34.416667,8.816667,314
b6329ea4-701d-e811-a6d2-9cb6d0e28a40,SIDI BOUZID,60748,35,9.483333,355
b9329ea4-701d-e811-a6d2-9cb6d0e28a40,SFAX EL-MAOU,60750,34.716667,10.683333,23
bc329ea4-701d-e811-a6d2-9cb6d0e28a40,TOZEUR,60760,33.916667,8.166667,86
bf329ea4-701d-e811-a6d2-9cb6d0e28a40,KEBILI,60764,33.7,8.966667,46
c2329ea4-701d-e811-a6d2-9cb6d0e28a40,GABES,60765,33.883333,10.1,5
f497fcaa-701d-e811-a6d2-9cb6d0e28a40,GABES MATMATA,60767,33.733333,9.916667,0
f797fcaa-701d-e811-a6d2-9cb6d0e28a40,DJERBA MELLITA,60769,33.866667,10.766667,4
fa97fcaa-701d-e811-a6d2-9cb6d0e28a40,MEDENINE,60770,33.35,10.483333,117
fd97fcaa-701d-e811-a6d2-9cb6d0e28a40,TATAOUINE,60772,32.916667,10.45,215
0098fcaa-701d-e811-a6d2-9cb6d0e28a40,REMADA,60775,32.316667,10.4,301
0398fcaa-701d-e811-a6d2-9cb6d0e28a40,EL BORMA,60780,31.683333,9.3,259
0698fcaa-701d-e811-a6d2-9cb6d0e28a40,BILMA,61017,18.683333,12.916667,357
0998fcaa-701d-e811-a6d2-9cb6d0e28a40,AGADEZ,61024,16.966667,7.983333,502
0c98fcaa-701d-e811-a6d2-9cb6d0e28a40,TILLABERY,61036,14.2,1.45,210
0f98fcaa-701d-e811-a6d2-9cb6d0e28a40,TAHOUA,61043,14.9,5.25,391
76d366b1-701d-e811-a6d2-9cb6d0e28a40,GOURE,61045,13.983333,10.3,460
79d366b1-701d-e811-a6d2-9cb6d0e28a40,N'GUIGMI,61049,14.25,13.116667,286
7cd366b1-701d-e811-a6d2-9cb6d0e28a40,NIAMEY-AERO,61052,13.483333,2.166667,227
7fd366b1-701d-e811-a6d2-9cb6d0e28a40,DOSSO,61053,13.033333,3.3,213
